Dataset,Class,Image Name,EC (Capacity),PSNR (dB),SSIM,Entropy Cover,Entropy Stego,Correlation,Cosine Sim,t-Test
RSSCN7,Field,401.jpg,1.9993,54.06,0.9982,5.2873,5.2888,0.998595,0.999991,2.6979
RSSCN7,Field,402.jpg,1.9964,53.34,0.9980,5.5550,5.5565,0.999211,0.999989,1.2236
RSSCN7,Field,403.jpg,2.0026,55.37,0.9986,5.4074,5.4090,0.999514,0.999993,0.1754
RSSCN7,Field,404.jpg,2.0147,55.95,0.9988,5.4553,5.4563,0.999402,0.999996,1.2210
RSSCN7,Field,405.jpg,1.9952,57.38,0.9992,5.6072,5.6081,0.999832,0.999998,0.8323
RSSCN7,Field,406.jpg,2.0027,54.87,0.9988,5.7838,5.7848,0.999492,0.999996,3.4061
RSSCN7,Field,407.jpg,2.0041,53.96,0.9982,5.8521,5.8530,0.999402,0.999989,0.7909
RSSCN7,Field,408.jpg,1.9978,54.34,0.9983,5.6995,5.7007,0.999427,0.999990,3.2377
RSSCN7,Field,409.jpg,1.9972,54.41,0.9984,5.4033,5.4051,0.999210,0.999989,1.7713
RSSCN7,Field,410.jpg,2.0003,53.63,0.9981,5.8136,5.8146,0.999270,0.999992,3.5135
RSSCN7,Field,411.jpg,2.0000,52.51,0.9984,6.7422,6.7428,0.999847,0.999990,1.1417
RSSCN7,Field,412.jpg,2.0001,52.17,0.9983,5.9926,5.9933,0.999191,0.999987,1.8910
RSSCN7,Field,413.jpg,2.0058,53.06,0.9983,6.4193,6.4197,0.999651,0.999991,1.8220
RSSCN7,Field,414.jpg,1.9992,57.28,0.9992,5.9948,5.9951,0.999788,0.999996,2.5988
RSSCN7,Field,415.jpg,2.0051,58.18,0.9992,5.4411,5.4417,0.999645,0.999994,2.2850
RSSCN7,Field,416.jpg,2.0099,53.65,0.9983,6.5359,6.5363,0.999779,0.999989,2.8305
RSSCN7,Field,417.jpg,1.9969,53.42,0.9983,5.9910,5.9919,0.999427,0.999990,2.0786
RSSCN7,Field,418.jpg,1.9988,54.86,0.9987,5.3228,5.3243,0.999209,0.999995,1.5259
RSSCN7,Field,419.jpg,2.0002,53.10,0.9980,5.7116,5.7129,0.999216,0.999989,1.8862
RSSCN7,Field,420.jpg,1.9933,53.75,0.9981,5.3221,5.3239,0.998631,0.999991,2.8166
RSSCN7,Field,421.jpg,2.0024,55.40,0.9986,5.4359,5.4375,0.999260,0.999994,0.9338
RSSCN7,Field,422.jpg,1.9920,56.18,0.9989,5.7847,5.7855,0.999699,0.999994,2.7637
RSSCN7,Field,423.jpg,1.9947,52.27,0.9982,6.1307,6.1317,0.999414,0.999991,1.2201
RSSCN7,Field,424.jpg,2.0059,53.34,0.9980,6.0301,6.0314,0.999584,0.999994,1.7332
RSSCN7,Field,425.jpg,1.9995,51.72,0.9987,5.8628,5.8638,0.998911,0.999965,1.9152
RSSCN7,Field,426.jpg,2.0062,53.69,0.9984,5.4143,5.4161,0.999068,0.999977,1.5006
RSSCN7,Field,427.jpg,2.0005,53.29,0.9982,5.2471,5.2496,0.998460,0.999982,3.8171
RSSCN7,Field,428.jpg,2.0008,56.11,0.9987,5.0617,5.0637,0.999335,0.999997,1.7517
RSSCN7,Field,429.jpg,1.9962,53.66,0.9982,5.2243,5.2260,0.998325,0.999995,1.8901
RSSCN7,Field,430.jpg,1.9971,52.72,0.9979,5.7343,5.7355,0.999164,0.999993,3.9950
RSSCN7,Field,431.jpg,2.0048,52.11,0.9982,5.7207,5.7219,0.998840,0.999991,1.6174
